Index of Difficulty,Size (px),Distance (px)
47.190870099992026,1282,500
47.19488359999377,1282,499
47.20519670000067,1282,498
47.20818690001033,1282,497
47.21287390001817,1282,496
47.21519130002707,1282,495
47.21585410000989,1283,495
47.216857700026594,1283,494
47.22216419997858,1283,493
47.22516289999476,1284,493
47.226365600014105,1284,492
47.2308747000061,1284,491
47.23186210001586,1285,491
47.23315390001517,1285,490
47.23385630000848,1285,489
47.23816850001458,1285,488
47.23987460002536,1285,487
47.24419439997291,1286,487
47.24517469998682,1286,486
47.24618770001689,1286,485
47.25023910001619,1286,484
47.25318310002331,1286,483
47.25387429998955,1287,483
47.255183600005694,1287,482
47.25831930001732,1287,481
47.261171100020874,1287,480
47.27389890002087,1287,479
47.33427920000395,1287,478
47.33936739998171,1287,477
47.34187150001526,1288,477
47.3431715000188,1288,476
47.34419099998195,1288,475
47.348193100013305,1289,474
47.348869399982505,1289,473
47.351856699970085,1290,472
47.356878000020515,1290,471
47.35984990000725,1290,470
47.39787859999342,1290,469
Index of Difficulty,Size (px),Distance (px)
4.446256229889564,30,327
Timestamp (s),Position X (px),Position Y (px)
47.719665199983865,1280,800
47.84810810000636,1280,801
47.85019680002006,1280,802
47.852226299990434,1280,804
47.85288690001471,1280,805
47.85415600001579,1280,806
47.85515590000432,1280,808
47.8561641999986,1280,809
47.85685600002762,1280,811
47.85786759998882,1280,813
47.85917559999507,1280,814
47.86012570001185,1280,816
47.86086339998292,1280,818
47.86217969999416,1280,819
47.86319419997744,1280,821
47.86416260001715,1280,823
47.864870199991856,1279,825
47.86715900001582,1279,827
47.869195399980526,1279,829
47.87017660000129,1279,831
47.87086470000213,1278,832
47.87216049997369,1278,834
47.873186099983286,1278,835
47.874177400022745,1278,836
47.8748682999867,1278,838
47.87617509998381,1278,839
47.87716879998334,1278,840
47.87815699999919,1278,842
47.87918819999322,1278,843
47.87986360001378,1277,845
47.88117409998085,1277,846
47.88187049998669,1277,847
47.88317450002069,1277,849
47.88413710001623,1277,850
47.88485580001725,1277,852
47.88586239999859,1277,853
47.887164500018116,1276,854
47.888187400007155,1276,856
47.88914440001827,1276,857
47.8901716999826,1276,859
47.89118520001648,1276,860
47.89185199997155,1276,862
47.89314880000893,1275,864
47.89487439999357,1275,866
47.895861299999524,1275,868
47.89717950002523,1275,869
47.89815179997822,1275,870
47.89915279997513,1275,871
