Index of Difficulty,Size (px),Distance (px),Target Position X (px),Target Position Y (px)
5.03121873061072,20,327,1,327
Timestamp (s),Position X (px),Position Y (px)
86.12076399999205,1175,906
86.12176509998972,1174,908
86.12272899999516,1173,909
86.12339040002553,1172,911
86.12467759998981,1169,913
86.1256863999879,1168,914
86.12670990003971,1167,915
86.12767700001132,1166,917
86.1286909999908,1165,920
86.12937760003842,1163,922
86.13066800002707,1162,922
86.13169589999598,1161,924
86.13275990000693,1160,926
86.1333697999944,1158,928
86.13438440003665,1156,929
86.13589850004064,1155,930
86.13685499998974,1153,933
86.13781129999552,1152,935
86.13839320000261,1151,936
86.13967499998398,1149,937
86.14067090000026,1148,939
86.1417057000217,1146,943
86.14275759999873,1145,943
86.14338000002317,1143,945
86.14467160002096,1141,946
86.14566670003114,1140,948
86.14638550003292,1139,950
86.14769920002436,1138,951
86.14838530000998,1137,952
86.14964880002663,1136,954
86.15037490002578,1134,956
86.15136220003478,1132,958
86.15342829999281,1130,959
86.15468189999228,1129,961
86.1553855999955,1128,963
86.15668140002526,1126,964
86.15767370001413,1125,965
86.15868839999894,1125,966
86.15968630003044,1124,966
86.16038439999102,1123,968
86.16138200002024,1122,970
86.16237030003686,1121,972
86.16369700001087,1119,972
86.16536839999026,1118,973
86.1663812000188,1117,975
86.16770739998901,1116,976
86.16867970000021,1116,977
86.16941159998532,1114,978
86.17139050003607,1113,979
86.17368720000377,1112,980
86.17436699999962,1111,982
86.1766912000021,1110,983
86.17768810002599,1109,985
86.17837650002912,1107,985
86.18072330002906,1107,986
86.1813664000365,1106,987
86.18272740003886,1105,988
86.18338170001516,1105,989
86.18468639999628,1104,990
86.1858827000251,1103,991
86.18690949998563,1102,991
86.18775859999005,1101,992
86.1896878000116,1100,993
86.19036870001582,1100,994
86.19166360003874,1099,996
86.19275360001484,1099,997
86.19369570002891,1098,997
86.1943842000328,1098,998
86.1953785000369,1097,998
86.19670080003561,1096,999
86.19765019998886,1095,1000
86.19972550001694,1094,1001
86.20069860003423,1093,1003
86.20168599998578,1093,1004
86.20296289998805,1092,1004
86.20339730003616,1092,1005
86.20468990004156,1091,1006
86.20570089999819,1090,1006
86.20638769998914,1090,1007
86.20765599998413,1088,1008
86.20869080000557,1088,1009
86.20938160002697,1087,1010
86.21067500003846,1087,1011
86.21137020003516,1087,1012
86.21238159999484,1086,1012
86.21338550001383,1085,1012
86.2148091000272,1084,1012
86.21570559998509,1084,1013
86.21671260002768,1083,1015
86.21737840003334,1082,1016
86.21978300000774,1081,1017
86.22171439998783,1081,1018
86.22370339999907,1080,1018
86.22571030003019,1079,1018
86.22639259998687,1079,1019
86.22838590003084,1078,1020
86.22977979999268,1077,1020
86.23139179998543,1076,1021
86.23238520004088,1076,1022
86.23438239999814,1076,1023
86.23866969998926,1075,1023
86.24038620002102,1075,1024
86.24238579999655,1074,1024
86.24438630003715,1074,1025
86.24967809999362,1073,1025
86.25249139999505,1072,1026
86.25484509998932,1071,1026
86.2566992000211,1071,1027
86.25870880001457,1071,1028
86.26369390002219,1070,1028
86.26738430000842,1070,1029
86.30575380002847,1070,1030
86.45784869999625,1069,1030
86.4674040999962,1068,1030
86.4698923000251,1067,1030
86.47079520003172,1066,1030
86.47237590001896,1065,1030
86.47570000000997,1064,1030
86.48173260001931,1063,1030
86.48466680001002,1062,1030
86.49271510000108,1061,1030
86.50245590001578,1060,1030
86.63381400000071,1059,1030
86.64040670002578,1058,1030
86.64471950003644,1057,1030
86.6493904000381,1056,1030
86.65172530000564,1055,1030
86.65384460001951,1054,1030
Index of Difficulty,Size (px),Distance (px),Target Position X (px),Target Position Y (px)
6.03121873061072,10,327,0,-327
Timestamp (s),Position X (px),Position Y (px)
87.40631660004146,1280,800
87.71760430000722,1280,801
87.719387500023,1280,802
87.72042030002922,1280,803
87.72274270001799,1280,804
87.72370580001734,1279,806
87.72572520002723,1279,807
87.72669059998589,1278,808
87.72839230002137,1277,809
87.72938850003993,1277,810
87.73071560001699,1277,811
87.73274230002426,1277,812
87.73370400001295,1277,813
87.73537930002203,1276,814
87.73778730002232,1276,815
87.73872299998766,1276,816
87.74070650001522,1275,817
87.7417011000216,1275,818
87.74369710002793,1275,819
87.74468629999319,1275,820
